numCol;Title;Start;End;Description;Web Page;Media;Media Caption;Media Credit;Tags;Place;Location;Source;Source URL
11;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πασίης Κλεοκρίτου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πυ[ρ]ρίης Εὐφρίλλου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πρηξαγόρης Τετρίχου</a>;-498;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2142,0.3480,0.0941,0.0319;;;;;;;
12;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Κλεανακτίδης Ἀντιχαρίνου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πρηξίπολις Πρυλίου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Φάνιππος Βραττίδεω</a>;-497;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2128,0.3778,0.1086,0.0328;;;;;;;
13;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀριστοκλῆς Πρηξαγόρεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Διότιμος Εὐφρίλλου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀριστοφῶν Ὑψοκλέος</a>;-496;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2115,0.4082,0.1045,0.0316;;;;;;;
14;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀρίζηλος Χαρίλλου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ποσίδειος Πρόκεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Μαχέων Πολυάλθεος</a>;-495;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2112,0.4380,0.1034,0.0316;;;;;;;
15;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Μικαλλῆς Φιλιστίδεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀρχέπολις Πυθόλεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Λάλλης Ἀρτυσίλεω</a>;-494;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2112,0.4678,0.0968,0.0322;;;;;;;
16;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ος Αὐτονίκου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ς Παγκλέος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..][Εὐφρ]ίλλου</a>;-493;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2106,0.4997,0.1083,0.0280;;;;;;;
17;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]Δημ[.. ? ..]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]γορης Φανόλεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ρατης Θυωνίδεω</a>;-492;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2093,0.5271,0.1086,0.0301;;;;;;;
18;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ς̣Μέγωνος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ος Ἀριστοφάνεος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ρος Πολυαινέτου</a>;-491;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2104,0.5562,0.1081,0.0304;;;;;;;
19;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]μης Σιμαλίωνος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]δρος Ἀριστοκλέος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]αχος Λεωφάνευς</a>;-490;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2106,0.5851,0.1108,0.0286;;;;;;;
20;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ος Κλεάριος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]Χειροβούλου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]τρατος Ἀττάλεω</a>;-489;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2095,0.6116,0.1070,0.0301;;;;;;;
21;;-488;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2101,0.6413,0.1037,0.0316;;;;;;;
22;;-487;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2112,0.6739,0.1001,0.0292;;;;;;;
23;;-486;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2101,0.7030,0.1007,0.0316;;;;;;;
24;;-485;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2098,0.7350,0.0987,0.0304;;;;;;;
25;;-484;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2098,0.7653,0.0976,0.0331;;;;;;;
26;;-483;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2104,0.7991,0.0949,0.0271;;;;;;;
27;;-482;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2106,0.8267,0.0927,0.0301;;;;;;;
28;;-481;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2106,0.8565,0.0927,0.0280;;;;;;;
29;;-480;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2112,0.8842,0.0913,0.0295;;;;;;;
